OutputerStream
==========================================================================
Started:07/02/20 00:37:26 India Standard Time
==========================================================================
notification,step,stepDate,fracOfStep,stepLenInYears,initial_values,atmosphere,soil,
onTimingPostInit,0,1999-12-31:23:59:59.998999,1,0.0846995,0,0,0,
onOutputStep,1,2000-01-31:23:59:59.999999,1,0.0846994535519126,0,0,0,
onPostDisturbanceEvent,2,2000-02-01:11:59:59.999999,1,0.0792349726775956,0,0.1,-0.1,
onPostDisturbanceEvent,2,2000-02-02:11:59:59.999999,1,0.0792349726775956,0,0.2,-0.2,
onPostDisturbanceEvent,2,2000-02-03:11:59:59.999999,1,0.0792349726775956,0,0.3,-0.3,
onPostDisturbanceEvent,2,2000-02-04:11:59:59.999999,1,0.0792349726775956,0,0.4,-0.4,
onPostDisturbanceEvent,2,2000-02-05:11:59:59.999999,1,0.0792349726775956,0,0.5,-0.5,
onOutputStep,2,2000-02-29:23:59:59.999999,0.844827586206897,0.0792349726775956,0,0.5,-0.5,
onOutputStep,3,2000-03-31:23:59:59.999999,1,0.0846994535519126,0,0.5,-0.5,
onOutputStep,4,2000-04-30:23:59:59.999999,1,0.0819672131147541,0,0.5,-0.5,
onOutputStep,5,2000-05-31:23:59:59.999999,1,0.0846994535519126,0,0.5,-0.5,
onOutputStep,6,2000-06-30:23:59:59.999999,1,0.0819672131147541,0,0.5,-0.5,
onOutputStep,7,2000-07-31:23:59:59.999999,1,0.0846994535519126,0,0.5,-0.5,
onOutputStep,8,2000-08-31:23:59:59.999999,1,0.0846994535519126,0,0.5,-0.5,
onOutputStep,9,2000-09-30:23:59:59.999999,1,0.0819672131147541,0,0.5,-0.5,
onOutputStep,10,2000-10-31:23:59:59.999999,1,0.0846994535519126,0,0.5,-0.5,
onOutputStep,11,2000-11-30:23:59:59.999999,1,0.0819672131147541,0,0.5,-0.5,
onOutputStep,12,2000-12-31:23:59:59.999999,1,0.0846994535519126,0,0.5,-0.5,
